Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Oklahoma City Thunder,W,NW,68,14,.829,12.87,120.33,107.61,12.72,12.70,120.16,107.61,12.56
2,Cleveland Cavaliers,E,C,64,18,.780,9.54,121.88,112.34,9.54,8.81,121.73,112.91,8.82
3,Boston Celtics,E,A,61,21,.744,9.11,120.83,111.32,9.51,8.28,120.59,111.92,8.67
4,Minnesota Timberwolves,W,NW,49,33,.598,5.00,116.72,111.53,5.19,5.15,116.62,111.29,5.32
5,Los Angeles Clippers,W,P,50,32,.610,4.66,115.20,110.43,4.77,4.84,115.03,110.10,4.93
6,Houston Rockets,W,SW,52,30,.634,4.51,115.23,110.89,4.34,4.96,115.37,110.57,4.79
7,Memphis Grizzlies,W,SW,48,34,.585,4.85,117.83,113.11,4.72,4.79,117.74,113.09,4.65
8,Denver Nuggets,W,NW,50,32,.610,3.89,119.97,116.20,3.77,3.97,120.03,116.18,3.85
9,New York Knicks,E,A,51,31,.622,4.10,118.42,114.34,4.09,3.59,118.37,114.79,3.59
10,Golden State Warriors,W,P,48,34,.585,3.30,115.09,111.81,3.28,3.56,115.08,111.55,3.53
11,Milwaukee Bucks,E,C,48,34,.585,2.48,115.99,113.52,2.47,2.12,115.93,113.81,2.12
12,Detroit Pistons,E,C,44,38,.537,1.90,115.05,113.12,1.93,1.73,114.98,113.21,1.77
13,Indiana Pacers,E,C,50,32,.610,2.23,116.67,114.36,2.30,1.68,116.58,114.83,1.75
14,Los Angeles Lakers,W,P,50,32,.610,1.22,115.92,114.70,1.22,1.45,115.91,114.46,1.45
15,Sacramento Kings,W,P,40,42,.488,0.48,116.86,116.35,0.51,0.58,116.86,116.24,0.62
16,Miami Heat,E,SE,37,45,.451,0.56,113.61,113.07,0.54,0.11,113.50,113.41,0.09
17,Orlando Magic,E,SE,41,41,.500,-0.12,109.46,109.54,-0.08,-0.70,109.11,109.77,-0.66
18,Dallas Mavericks,W,SW,39,43,.476,-1.20,114.90,116.05,-1.15,-0.74,115.06,115.76,-0.71
19,Atlanta Hawks,E,SE,40,42,.488,-1.13,114.74,115.74,-1.00,-1.41,114.78,116.05,-1.27
20,Chicago Bulls,E,C,39,43,.476,-1.56,114.28,115.77,-1.49,-1.83,114.23,115.98,-1.75
21,San Antonio Spurs,W,SW,34,48,.415,-2.76,114.53,117.23,-2.71,-2.45,114.65,117.06,-2.41
22,Portland Trail Blazers,W,NW,36,46,.439,-2.98,111.95,114.75,-2.80,-2.66,111.84,114.33,-2.50
23,Phoenix Suns,W,P,36,46,.439,-3.00,116.26,119.30,-3.04,-2.55,116.49,119.09,-2.60
24,Toronto Raptors,E,A,30,52,.366,-4.29,110.52,114.93,-4.41,-4.40,110.51,115.02,-4.51
25,Philadelphia 76ers,E,A,24,58,.293,-6.23,111.91,118.33,-6.42,-6.29,112.08,118.55,-6.46
26,Brooklyn Nets,E,A,26,56,.317,-7.11,108.62,115.83,-7.21,-6.95,108.69,115.74,-7.04
27,Utah Jazz,W,NW,17,65,.207,-9.34,111.24,120.61,-9.37,-8.51,111.56,120.10,-8.54
28,New Orleans Pelicans,W,SW,21,61,.256,-9.43,110.39,120.01,-9.62,-8.59,110.70,119.49,-8.78
29,Charlotte Hornets,E,SE,19,63,.232,-9.11,107.37,116.65,-9.28,-9.10,107.42,116.67,-9.25
30,Washington Wizards,E,SE,18,64,.220,-12.44,106.79,119.12,-12.33,-12.13,106.99,119.01,-12.02
